external_record_id,doc_id,doc_doi,doc_title,is_fluorinated,external_hlm,external_rlm,hlm_assay_ids,rlm_assay_ids,hlm_endpoint_class,rlm_endpoint_class,same_endpoint_class,strict_total_intrinsic_pair,source_unit_per_ug_flag,full_inchikey_overlap,hlm_full_inchikeys,rlm_full_inchikeys,manual_source_review_required,hlm_source_units,rlm_source_units,hlm_assay_description,rlm_assay_description
OA35PAIR_01792,112300.0,10.1016/j.bmcl.2018.12.029,"Novel, potent, selective, and brain penetrant phosphodiesterase 10A inhibitors.",0,0.9132839017604184,1.334453751150931,1872209,1872210,total_intrinsic,total_intrinsic,1,1,0,1,UHYHKBMUTNEOLE-UHFFFAOYSA-N,UHYHKBMUTNEOLE-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human hepatic microsomes,Intrinsic clearance in rat hepatic microsomes
OA35PAIR_01793,66605.0,10.1021/jm3009426,"Spirocyclic sulfamides as β-secretase 1 (BACE-1) inhibitors for the treatment of Alzheimer's disease: utilization of structure based drug design, WaterMap, and CNS penetration studies to identify centrally efficacious inhibitors.",1,1.187520720836463,1.7759743311293692,874512,874513,total_intrinsic,total_intrinsic,1,1,0,1,UICGCQDWRACUBV-MHECFPHRSA-N,UICGCQDWRACUBV-MHECFPHRSA-N,0,mL.min-1.kg-1,mL.min-1.kg-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01794,45778.0,10.1016/j.bmcl.2008.08.042,Optimization of a series of multi-isoform PI3 kinase inhibitors.,0,0.7671558660821804,1.4313637641589874,497047,497046,total_intrinsic,total_intrinsic,1,1,0,1,UIHWUCKQDZWWKN-UHFFFAOYSA-N,UIHWUCKQDZWWKN-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Metabolic stability in human liver microsomes assessed as intrinsic clearance per mg of protein at 0.5 uM,Metabolic stability in rat liver microsomes assessed as intrinsic clearance per mg of protein at 0.5 uM
OA35PAIR_01795,62085.0,10.1021/jm201287w,"Pyridyl-2,5-diketopiperazines as potent, selective, and orally bioavailable oxytocin antagonists: synthesis, pharmacokinetics, and in vivo potency.",0,1.3234583668494675,0.7323937598229685,821171,821168,total_intrinsic,total_intrinsic,1,1,0,1,UIIUMNNEEKULOE-TWJOJJKGSA-N,UIIUMNNEEKULOE-TWJOJJKGSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01796,45766.0,10.1016/j.bmcl.2008.07.086,Discovery of benzoylpiperazines as a novel class of potent and selective GlyT1 inhibitors.,1,4.559547555580434,4.979548374704095,496471,496470,total_intrinsic,total_intrinsic,1,1,1,1,UIOCFWCJDKQTSI-UHFFFAOYSA-N,UIOCFWCJDKQTSI-UHFFFAOYSA-N,1,mL.min-1.g-1,mL.min-1.g-1,Metabolic stability in human liver microsomes assessed as intrinsic clearance per microgram of protein,Metabolic stability in rat liver microsomes assessed as intrinsic clearance per microgram of protein
OA35PAIR_01797,72088.0,10.1016/j.bmcl.2012.10.121,Cis-amide isosteric replacement in thienobenzoxepin inhibitors of PI3-kinase.,1,0.8450980400142568,1.380211241711606,938140,938141,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,UIQRHODPZSKEAJ-UHFFFAOYSA-N,UIQRHODPZSKEAJ-UHFFFAOYSA-N,1,mL.min-1.kg-1,mL.min-1.kg-1,Clearance in human liver microsomes,Clearance in rat liver microsomes
OA35PAIR_01798,109758.0,10.1016/j.bmcl.2018.07.043,"Novel, potent, selective and brain penetrant vasopressin 1b receptor antagonists.",0,1.701654317325748,2.17435059747938,1794573,1794574,total_intrinsic,total_intrinsic,1,1,0,1,UIUNVFNGUFMJDP-UHFFFAOYSA-N,UIUNVFNGUFMJDP-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01800,65939.0,10.1021/jm3005866,"The discovery and optimization of a novel class of potent, selective, and orally bioavailable anaplastic lymphoma kinase (ALK) inhibitors with potential utility for the treatment of cancer.",1,2.3559875916763877,1.9084850188786495,863880,863881,total_intrinsic,total_intrinsic,1,1,0,1,UJMIGAWOYMIDQE-DKXQDJALSA-N,UJMIGAWOYMIDQE-DKXQDJALSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_01801,66528.0,10.1016/j.bmcl.2012.02.041,Identification of a novel series of BET family bromodomain inhibitors: binding mode and profile of I-BET151 (GSK1210151A).,0,0.7781512503836436,0.2304489213782739,873389,873391,total_intrinsic,total_intrinsic,1,1,0,1,UJPOOIUOVCPCTL-UHFFFAOYSA-N,UJPOOIUOVCPCTL-UHFFFAOYSA-N,0,mL.min-1.kg-1,mL.min-1.kg-1,Intrinsic clearance in human liver microsomes assessed per mg of protein at 0.5 uM after 30 mins,Intrinsic clearance in rat liver microsomes assessed per mg of protein at 0.5 uM after 30 mins
OA35PAIR_01802,121000.0,10.1021/acs.jmedchem.0c02008,"Discovery of GLPG1972/S201086, a Potent, Selective, and Orally Bioavailable ADAMTS-5 Inhibitor for the Treatment of Osteoarthritis.",0,1.3710678622717365,1.6434526764861874,2125846,2125847,total_intrinsic,total_intrinsic,1,1,0,1,UJRBIZNZOPPPEC-BBATYDOGSA-N,UJRBIZNZOPPPEC-BBATYDOGSA-N,0,mL.min-1.kg-1,mL.min-1.kg-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
