review_priority,review_reason,manual_review_status,manual_review_note,pair_id,document_id,doi,transformation,base_id,fluorinated_id,base_smiles,fluorinated_smiles,selected_hlm_assay_id,selected_rlm_assay_id,assay_matched_base_hlm,assay_matched_fluorinated_hlm,assay_matched_delta_hlm,assay_matched_base_rlm,assay_matched_fluorinated_rlm,assay_matched_delta_rlm,assay_matched_direction_agreement
1,cross_species_reversal;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00025,65939.0,10.1021/jm3005866,Ar-H_to_Ar-F,OA35PAIR_02340,OA35PAIR_00598,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cccc(F)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cc(F)cc(F)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,863880,863881,2.076786033508079,2.0077051143647804,-0.0690809191432988,1.255272505103306,1.9365137424788936,0.6812412373755874,0.0
2,cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00065,110861.0,10.1021/acs.jmedchem.9b01721,Ar-H_to_Ar-F,OA35PAIR_00678,OA35PAIR_01539,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccccc3CC[C@H]2C(F)(F)F)C1=O,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccc(F)cc3CC[C@H]2C(F)(F)F)C1=O,1825665,1825666,2.2355031964943377,2.2750117377780112,0.0395085412836735,2.3823773034681137,2.230244499401375,-0.1521328040667389,0.0
2,cross_species_reversal;zero_or_rounded_delta,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00096,114173.0,10.1021/acs.jmedchem.6b00425,Ar-H_to_Ar-F,OA35PAIR_01401,OA35PAIR_02365,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2F)cc1Cl,CC(C)COc1ncc(-c2cc(F)c(C(=O)NS(C)(=O)=O)cc2F)cc1Cl,1925814,1925815,1.499549625905149,1.7402837196818792,0.2407340937767301,1.5976951859255124,1.5976951859255124,0.0,0.0
2,cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00088,114532.0,10.1021/acs.jmedchem.6b00610,Ar-H_to_Ar-F,OA35PAIR_00870,OA35PAIR_02204,Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,1932816,1932815,1.9132839017604184,1.8877297972880305,-0.0255541044723881,2.189770956346874,2.5317343092765503,0.3419633529296764,0.0
2,cross_species_reversal;zero_or_rounded_delta,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00010,120738.0,10.1021/acs.jmedchem.1c00847,Ar-H_to_Ar-F,OA35PAIR_00567,OA35PAIR_00257,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,C[C@@H]1Cc2c([nH]c3cccc(F)c23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,2118298,2118299,1.0413926851582251,1.0791812460476249,0.0377885608893997,1.2787536009528289,1.2787536009528289,0.0,0.0
2,cross_species_reversal;zero_or_rounded_delta,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00012,120738.0,10.1021/acs.jmedchem.1c00847,Ar-H_to_Ar-F,OA35PAIR_00567,OA35PAIR_00318,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,C[C@@H]1Cc2c([nH]c3c(F)cccc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,2118298,2118299,1.0413926851582251,1.0413926851582251,0.0,1.2787536009528289,1.2041199826559248,-0.074633618296904,0.0
2,cross_species_reversal;zero_or_rounded_delta,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00042,120738.0,10.1021/acs.jmedchem.1c00847,Ar-H_to_Ar-F,OA35PAIR_02161,OA35PAIR_00901,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cc2)N1CC(F)(F)CO,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,2118298,2118299,1.0,1.0,0.0,1.230448921378274,1.0,-0.2304489213782738,0.0
2,cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00072,121631.0,10.1021/acs.jmedchem.1c00563,Ar-H_to_Ar-F,OA35PAIR_02090,OA35PAIR_01675,O=C1c2nc3cccc(Br)c3n2CCN1Cc1ccc(Br)cc1,O=C1c2nc3cccc(Br)c3n2CCN1Cc1ccc(Br)cc1F,2149700,2149701,-0.224243962155902,-0.1122702027119696,0.1119737594439323,0.7055216134226672,0.6151079874431941,-0.0904136259794731,0.0
2,cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00080,121631.0,10.1021/acs.jmedchem.1c00563,Ar-H_to_Ar-F,OA35PAIR_02039,OA35PAIR_01970,O=C1c2nc3cccc(Br)c3n2CCN1Cc1ccccc1,O=C1c2nc3cccc(Br)c3n2CCN1Cc1ccccc1F,2149700,2149701,-0.5516028965422324,-0.4546928835341759,0.0969100130080564,0.8030472104911286,0.527114111639805,-0.2759330988513235,0.0
2,cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00077,124869.0,10.1016/j.bmcl.2022.129014,Ar-H_to_Ar-F,OA35PAIR_01773,OA35PAIR_01838,O=c1[nH]c(SCc2ccc(-c3ccc(S(=O)(=O)NC4COC4)cc3)cc2F)nc2c1CCC2,O=c1[nH]c(SCc2ccc(-c3ccc(S(=O)(=O)NC4COC4)c(F)c3)cc2F)nc2c1CCC2,2262292,2262294,1.2143138974243997,1.499549625905149,0.2852357284807494,2.0187004986662433,1.7323937598229686,-0.2863067388432747,0.0
