model,seed,scope,n,n_scaffolds,n_uncensored,uncensored_rmse,uncensored_mae,uncensored_spearman,interval_rmse,low_clearance_roc_auc,low_clearance_pr_auc,top20_low_clearance_fraction,low_clearance_prevalence,top20_enrichment
RandomForest,ensemble,fluorinated,557,504,389,0.3324845070161105,0.2531523459126622,0.7975023890038061,0.3008677513422262,0.9438070776255708,0.9686681998593057,0.9910714285714286,0.6552962298025135,1.5124021526418787
RandomForest,ensemble,nonfluorinated,2492,2188,1721,0.38127961169430197,0.2896050216253941,0.7313058384396934,0.3555711043739906,0.9091894870839543,0.9579793930932401,0.9879759519038076,0.7062600321027287,1.398884131900164
ExtraTrees,20260819,all,3049,2623,2110,0.36990290798386105,0.280935791929263,0.7480307736790138,0.34425999626167253,0.9173725490196079,0.9610191311111476,0.9901639344262295,0.6969498196129879,1.4207105110896818
ExtraTrees,20260819,fluorinated,557,504,389,0.3318423604709619,0.25319529190273965,0.7990205467060817,0.29962821027790143,0.9432077625570776,0.9691023917422595,0.9910714285714286,0.6552962298025135,1.5124021526418787
ExtraTrees,20260819,nonfluorinated,2492,2188,1721,0.37797511855132443,0.28720601535187634,0.7358241057442596,0.35346612223148915,0.9111820044709389,0.9594682351395244,0.9899799599198397,0.7062600321027287,1.4017216250683184
ExtraTrees,20260820,all,3049,2623,2110,0.37114806638569053,0.2821741975972113,0.7466340258059371,0.34522479671398504,0.9172528647822765,0.9609602585742516,0.9901639344262295,0.6969498196129879,1.4207105110896818
ExtraTrees,20260820,fluorinated,557,504,389,0.33218565324860605,0.2541717623765489,0.7981253902040418,0.3004709260371826,0.9434503424657534,0.9690840887884608,0.9910714285714286,0.6552962298025135,1.5124021526418787
ExtraTrees,20260820,nonfluorinated,2492,2188,1721,0.3794007852802536,0.2885036265924685,0.7342610534492313,0.3544561552414238,0.9109499192747142,0.9593560337540663,0.9899799599198397,0.7062600321027287,1.4017216250683184
ExtraTrees,20260821,all,3049,2623,2110,0.3700772778532547,0.28135028073425355,0.747887747258876,0.3442437681766844,0.9174530175706646,0.9609639049148023,0.9901639344262295,0.6969498196129879,1.4207105110896818
ExtraTrees,20260821,fluorinated,557,504,389,0.3313130429592824,0.25244726827308595,0.8004009958642607,0.29914931920618637,0.9440639269406392,0.9696664603172925,0.9910714285714286,0.6552962298025135,1.5124021526418787
ExtraTrees,20260821,nonfluorinated,2492,2188,1721,0.378289210602845,0.28788326844337275,0.7352424055222012,0.35353744063637077,0.91104772106309,0.9592269161238414,0.9899799599198397,0.7062600321027287,1.4017216250683184
ExtraTrees,ensemble,all,3049,2623,2110,0.3701679929903656,0.2813013617115885,0.7477492652632426,0.3443910077306675,0.9174514896867838,0.9610217571677773,0.9901639344262295,0.6969498196129879,1.4207105110896818
ExtraTrees,ensemble,fluorinated,557,504,389,0.33155624579294896,0.2531439640818462,0.7997707575754754,0.2995498504624377,0.94375,0.9693440459367375,0.9910714285714286,0.6552962298025135,1.5124021526418787
ExtraTrees,ensemble,nonfluorinated,2492,2188,1721,0.37834986156282296,0.28766581707356975,0.7353058976283674,0.35363707515853404,0.9111509562841531,0.9593965364183255,0.9899799599198397,0.7062600321027287,1.4017216250683184
Ridge,20260819,all,3049,2623,2110,0.7430493006784272,0.5754735530390449,0.4328724822862717,0.6891354230254098,0.7674983447924624,0.8679247983440012,0.9114754098360656,0.6969498196129879,1.3078063645130182
Ridge,20260819,fluorinated,557,504,389,0.7756052327135232,0.6014148705728063,0.41505314418375366,0.7488309969621095,0.7487585616438355,0.8419872930496417,0.8839285714285714,0.6552962298025135,1.348899217221135
Ridge,20260819,nonfluorinated,2492,2188,1721,0.7354909908378054,0.5696100013129362,0.4368575247578399,0.6750711301316344,0.7715070789865872,0.8730948718117809,0.9178356713426854,0.7062600321027287,1.2995718710147568
Ridge,20260820,all,3049,2623,2110,0.7430493006784272,0.5754735530390449,0.4328724822862717,0.6891354230254098,0.7674983447924624,0.8679247983440012,0.9114754098360656,0.6969498196129879,1.3078063645130182
Ridge,20260820,fluorinated,557,504,389,0.7756052327135232,0.6014148705728063,0.41505314418375366,0.7488309969621095,0.7487585616438355,0.8419872930496417,0.8839285714285714,0.6552962298025135,1.348899217221135
Ridge,20260820,nonfluorinated,2492,2188,1721,0.7354909908378054,0.5696100013129362,0.4368575247578399,0.6750711301316344,0.7715070789865872,0.8730948718117809,0.9178356713426854,0.7062600321027287,1.2995718710147568
Ridge,20260821,all,3049,2623,2110,0.7430493006784272,0.5754735530390449,0.4328724822862717,0.6891354230254098,0.7674983447924624,0.8679247983440012,0.9114754098360656,0.6969498196129879,1.3078063645130182
Ridge,20260821,fluorinated,557,504,389,0.7756052327135232,0.6014148705728063,0.41505314418375366,0.7488309969621095,0.7487585616438355,0.8419872930496417,0.8839285714285714,0.6552962298025135,1.348899217221135
Ridge,20260821,nonfluorinated,2492,2188,1721,0.7354909908378054,0.5696100013129362,0.4368575247578399,0.6750711301316344,0.7715070789865872,0.8730948718117809,0.9178356713426854,0.7062600321027287,1.2995718710147568
Ridge,ensemble,all,3049,2623,2110,0.7430493006784272,0.5754735530390449,0.4328724822862717,0.6891354230254098,0.7674983447924624,0.8679247983440012,0.9114754098360656,0.6969498196129879,1.3078063645130182
Ridge,ensemble,fluorinated,557,504,389,0.7756052327135232,0.6014148705728063,0.41505314418375366,0.7488309969621095,0.7487585616438355,0.8419872930496417,0.8839285714285714,0.6552962298025135,1.348899217221135
Ridge,ensemble,nonfluorinated,2492,2188,1721,0.7354909908378054,0.5696100013129362,0.4368575247578399,0.6750711301316344,0.7715070789865872,0.8730948718117809,0.9178356713426854,0.7062600321027287,1.2995718710147568
descriptor_MLP,20260819,all,3049,2623,2110,0.4559983169572491,0.3527238204611669,0.6738517473505271,0.43877723290528675,0.8890593328240387,0.9471530492458617,0.9868852459016394,0.6969498196129879,1.4160061716489876
descriptor_MLP,20260819,fluorinated,557,504,389,0.40433739168032395,0.3132962174915666,0.7226383774652272,0.3829935963383519,0.9217893835616439,0.9569037107691979,0.9910714285714286,0.6552962298025135,1.5124021526418787
descriptor_MLP,20260819,nonfluorinated,2492,2188,1721,0.46688392198232315,0.36163569585638744,0.6629022717978204,0.4503017924477959,0.8816823460009936,0.9456703071761646,0.9859719438877755,0.7062600321027287,1.3960466387320096
descriptor_MLP,20260820,all,3049,2623,2110,0.4640407292245061,0.356950271195115,0.6641514429906819,0.44417827503885277,0.8846982429335369,0.9437537256756092,0.9868852459016394,0.6969498196129879,1.4160061716489876
descriptor_MLP,20260820,fluorinated,557,504,389,0.41857686335928734,0.32456683185148366,0.7054313330259336,0.3921040987879932,0.9103595890410959,0.9507518612931798,0.9910714285714286,0.6552962298025135,1.5124021526418787
descriptor_MLP,20260820,nonfluorinated,2492,2188,1721,0.4737127889624771,0.36426994458539547,0.6539121544618538,0.45500345278653337,0.8787816691505216,0.9427252840748988,0.9859719438877755,0.7062600321027287,1.3960466387320096
descriptor_MLP,20260821,all,3049,2623,2110,0.4529065754846082,0.34996373541527076,0.6741085759963966,0.4341246633766226,0.8885378151260503,0.9479844691999718,0.9918032786885246,0.6969498196129879,1.4230626808100288
descriptor_MLP,20260821,fluorinated,557,504,389,0.40551759693183126,0.30776006385806454,0.7200236479514115,0.3804347595025277,0.9161672374429225,0.9529159062063866,0.9910714285714286,0.6552962298025135,1.5124021526418787
descriptor_MLP,20260821,nonfluorinated,2492,2188,1721,0.4629463116110386,0.3595030894162895,0.6632081238905531,0.44524078166974307,0.8823917970690512,0.9472875876943447,0.9919839679358717,0.7062600321027287,1.404559118236473
descriptor_MLP,ensemble,all,3049,2623,2110,0.44197647425362296,0.3403309159227464,0.685732403355277,0.4256247148812494,0.8929982174688058,0.948937077228031,0.9885245901639345,0.6969498196129879,1.4183583413693346
descriptor_MLP,ensemble,fluorinated,557,504,389,0.3941796115533141,0.301440445707516,0.7324075296301117,0.37131612545518805,0.921689497716895,0.9564492081653011,0.9910714285714286,0.6552962298025135,1.5124021526418787
descriptor_MLP,ensemble,nonfluorinated,2492,2188,1721,0.4520804042468069,0.3491213824618078,0.6749951308887827,0.4368412774667494,0.8865607923497267,0.9477526614930415,0.9879759519038076,0.7062600321027287,1.398884131900164
